time_s,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,tau_ext_6,q_state_0,q_state_1,q_state_2,q_state_3,q_state_4,q_state_5,q_state_6,dq_state_0,dq_state_1,dq_state_2,dq_state_3,dq_state_4,dq_state_5,dq_state_6
0.053097,-0.169798,0.401254,0.081137,-0.001264,0.032422,0.067861,-0.011573,-0.010499,-0.568452,0.159447,0.036917,0.235869,-0.085327,0.080568,0.001858,-0.782903,-0.001082,-2.355917,-0.003707,1.576293,0.774437,-0.000432,0.014451,-0.000564,0.000287,-0.000280,0.000651,-0.000243
0.054034,-0.172940,0.404593,0.082880,-0.000046,0.030547,0.069001,-0.012365,-0.010345,-0.572663,0.158578,0.038565,0.235417,-0.084300,0.079997,0.001862,-0.782885,-0.001078,-2.355915,-0.003709,1.576292,0.774434,0.000474,0.014679,0.000263,0.000981,-0.000815,-0.000266,-0.001140
0.055134,-0.173950,0.401073,0.086308,-0.001688,0.030406,0.069037,-0.012137,-0.010325,-0.576274,0.157884,0.040300,0.234978,-0.083176,0.079475,0.001862,-0.782873,-0.001078,-2.355917,-0.003706,1.576291,0.774436,0.000531,0.013375,0.000243,-0.000056,0.000270,-0.000271,0.000063
0.056096,-0.177953,0.404922,0.087658,-0.000001,0.029698,0.070532,-0.012918,-0.010424,-0.578239,0.157265,0.041512,0.234537,-0.082004,0.079013,0.001861,-0.782853,-0.001080,-2.355911,-0.003709,1.576292,0.774433,-0.000721,0.015536,-0.000439,0.001663,-0.000504,0.001011,-0.000865
0.057041,-0.179001,0.402197,0.088328,0.000712,0.028455,0.070958,-0.012329,-0.009962,-0.578953,0.157595,0.042038,0.234178,-0.080844,0.078614,0.001861,-0.782842,-0.001080,-2.355915,-0.003709,1.576292,0.774437,-0.000241,0.013968,-0.000216,0.000199,-0.000585,0.000647,0.000300
0.058039,-0.183504,0.400643,0.090826,0.001398,0.025843,0.073042,-0.013218,-0.009045,-0.578980,0.158527,0.042720,0.233919,-0.079607,0.078261,0.001859,-0.782822,-0.001077,-2.355917,-0.003709,1.576293,0.774433,-0.001220,0.015643,0.000300,-0.000304,-0.000125,0.001356,-0.001282
0.059059,-0.187863,0.401279,0.094351,0.002023,0.026141,0.073829,-0.013394,-0.007133,-0.584623,0.160118,0.050147,0.233650,-0.076501,0.077654,0.001859,-0.782786,-0.001081,-2.355920,-0.003706,1.576292,0.774433,-0.000001,0.016765,-0.000813,-0.001210,0.000457,0.000897,0.000013
0.060045,-0.189428,0.401404,0.093604,0.001577,0.025661,0.075856,-0.014233,-0.007133,-0.584623,0.160118,0.050147,0.233650,-0.076501,0.077654,0.001859,-0.782786,-0.001081,-2.355920,-0.003706,1.576292,0.774433,-0.000001,0.016765,-0.000813,-0.001210,0.000457,0.000897,0.000013
0.061067,-0.196313,0.401821,0.094885,0.002203,0.023415,0.077223,-0.013985,-0.006374,-0.590241,0.160841,0.056671,0.233557,-0.074673,0.077398,0.001856,-0.782769,-0.001079,-2.355919,-0.003706,1.576291,0.774439,-0.000777,0.017044,0.000474,-0.000598,0.000121,0.000044,0.001271
0.062136,-0.196603,0.402630,0.097428,0.000390,0.023643,0.078826,-0.013939,-0.006328,-0.595595,0.160472,0.063555,0.233346,-0.072778,0.077153,0.001861,-0.782750,-0.001077,-2.355921,-0.003704,1.576291,0.774437,0.000994,0.017177,0.000743,-0.001017,0.001508,-0.000100,0.000332
0.063033,-0.201001,0.401196,0.098493,0.001259,0.022524,0.080048,-0.014462,-0.007293,-0.599237,0.158589,0.069501,0.232935,-0.070930,0.076886,0.001858,-0.782731,-0.001079,-2.355916,-0.003707,1.576289,0.774436,-0.000564,0.017133,0.000473,0.000871,0.000393,-0.000413,-0.000199
